"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @HollywoodJunket: #TheVoice fans got their #VoiceTop10 tonight!  Find out who went through, and artists interviews here - https://t.co/8…",FALSE,0,NA,2018-11-28 07:31:51,FALSE,NA,"1067682465614086151",NA,"<a href=""http://Spotlight.hollywoodJunket/Follow"" rel=""nofollow"">Love My Tweets</a>","HollywoodJunket",1,TRUE,FALSE,NA,NA
"@kelly_clarkson #TheVoice",FALSE,0,"kelly_clarkson",2018-11-28 07:31:24,FALSE,NA,"1067682354074914816","23690344","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mattheart24ema1",0,FALSE,FALSE,NA,NA
"@blakeshelton #TheVoice",FALSE,0,"blakeshelton",2018-11-28 07:30:50,FALSE,NA,"1067682213750284288","14920785","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mattheart24ema1",0,FALSE,FALSE,NA,NA
"Are you looking OR searching for #install #setup your #wordpress premium #theme like the demo? #TuesdayThoughts… https://t.co/eH2UpZNe2H",FALSE,0,NA,2018-11-28 07:30:01,TRUE,NA,"1067682005842894848",NA,"<a href=""https://eclincher.com"" rel=""nofollow"">eClincher</a>","hashemdiu1",0,FALSE,FALSE,NA,NA
"RT @deandreknico: Thank you to everyone that tweeted to Voice Save me.. I can’t thank y’all enough. Thank You Jesus. Thank You America. LET…",FALSE,0,NA,2018-11-28 07:29:53,FALSE,NA,"1067681970879107072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maggielutz831",336,TRUE,FALSE,NA,NA
"RT @kirkJay7: Top 10!!!!!! America thank you!!!!❤️❤️❤️❤️❤️❤️❤️#thevoice https://t.co/4bz5mSELrR",FALSE,0,NA,2018-11-28 07:28:19,FALSE,NA,"1067681580171362311",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Raganmayy6",122,TRUE,FALSE,NA,NA
"@kelly_clarkson #TheVoice",FALSE,0,"kelly_clarkson",2018-11-28 07:28:01,FALSE,NA,"1067681502844973056","23690344","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SavannahBayBVI",0,FALSE,FALSE,NA,NA
"@kelly_clarkson #TheVoice Lynnea is wonderful!",FALSE,0,"kelly_clarkson",2018-11-28 07:27:05,FALSE,NA,"1067681266932178944","23690344","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SavannahBayBVI",0,FALSE,FALSE,NA,NA
"RT @NBCTheVoice: Are you ready for tonight’s Instant Save?! Presented by @Xfinity #TheVoice https://t.co/rGUG6rhWkk",FALSE,0,NA,2018-11-28 07:27:04,FALSE,NA,"1067681261962051585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RodriguezLilys",1951,TRUE,FALSE,NA,NA
"DiAndre is amazing @adamlevine #TheVoice",FALSE,0,NA,2018-11-28 07:25:26,FALSE,NA,"1067680853684187136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SavannahBayBVI",0,FALSE,FALSE,NA,NA
"RT @imyarabis1316: look who is in the top 10 👏👏
that is my  😍❤❤❤❤ @officialchevel @NBCTheVoice @kelly_clarkson #TeamKelly #TeamChevel #TheV…",FALSE,0,NA,2018-11-28 07:23:28,FALSE,NA,"1067680356709453825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JulieShepherd8",17,TRUE,FALSE,NA,NA
